Instance,SIB Ratio
0,0.7044642857142858
1,0.6946428571428571
2,0.7160714285714286
3,0.7026785714285714
4,0.7196428571428571
5,0.6919642857142857
6,0.7026785714285714
7,0.6910714285714286
8,0.7196428571428571
9,0.6892857142857143
10,0.6642857142857143
11,0.6973214285714285
12,0.7053571428571429
13,0.6892857142857143
14,0.6883928571428571
15,0.7044642857142858
16,0.6857142857142857
17,0.6973214285714285
18,0.7
19,0.7089285714285715
20,0.6928571428571428
21,0.7071428571428572
22,0.6830357142857143
23,0.6946428571428571
24,0.6973214285714285
25,0.6991071428571428
26,0.6982142857142857
27,0.6928571428571428
28,0.6901785714285714
29,0.70625
30,0.6973214285714285
31,0.7035714285714286
32,0.7008928571428571
33,0.6901785714285714
34,0.6875
35,0.6821428571428572
36,0.6875
37,0.7026785714285714
38,0.7214285714285714
39,0.6723214285714286
40,0.7026785714285714
41,0.6991071428571428
42,0.6866071428571429
43,0.6919642857142857
44,0.7098214285714286
45,0.6946428571428571
46,0.7026785714285714
47,0.69375
48,0.6866071428571429
49,0.6919642857142857
50,0.6964285714285714
51,0.6830357142857143
52,0.6901785714285714
53,0.71875
54,0.6964285714285714
55,0.6830357142857143
56,0.7044642857142858
57,0.7017857142857142
58,0.7035714285714286
59,0.675
60,0.6910714285714286
61,0.6625
62,0.6955357142857143
63,0.6821428571428572
64,0.7017857142857142
65,0.7053571428571429
66,0.6919642857142857
67,0.6946428571428571
68,0.6803571428571429
69,0.6982142857142857
70,0.6857142857142857
71,0.7
72,0.6883928571428571
73,0.7098214285714286
74,0.70625
75,0.7035714285714286
76,0.7053571428571429
77,0.7142857142857143
78,0.6964285714285714
79,0.6830357142857143
80,0.6741071428571429
81,0.6785714285714286
82,0.6991071428571428
83,0.6821428571428572
84,0.6955357142857143
85,0.7008928571428571
86,0.6910714285714286
87,0.7017857142857142
88,0.7026785714285714
89,0.7080357142857143
90,0.7017857142857142
91,0.6821428571428572
92,0.7008928571428571
93,0.7080357142857143
94,0.6964285714285714
95,0.6866071428571429
96,0.6964285714285714
97,0.7008928571428571
98,0.6839285714285714
99,0.7017857142857142
100,0.69375
101,0.6910714285714286
102,0.6955357142857143
103,0.7151785714285714
104,0.7026785714285714
105,0.6964285714285714
106,0.7026785714285714
107,0.6821428571428572
108,0.6928571428571428
109,0.69375
110,0.7035714285714286
111,0.6928571428571428
112,0.7089285714285715
113,0.6928571428571428
114,0.6776785714285715
115,0.6883928571428571
116,0.7026785714285714
117,0.6919642857142857
118,0.6875
119,0.7107142857142857
120,0.7160714285714286
121,0.7044642857142858
122,0.6830357142857143
123,0.7
124,0.7160714285714286
125,0.6910714285714286
126,0.66875
127,0.7080357142857143
128,0.6946428571428571
129,0.6732142857142858
130,0.6910714285714286
131,0.6866071428571429
132,0.6901785714285714
133,0.69375
134,0.7071428571428572
135,0.6821428571428572
136,0.6910714285714286
137,0.6758928571428572
138,0.6973214285714285
139,0.7098214285714286
140,0.70625
141,0.7017857142857142
142,0.7151785714285714
143,0.7116071428571429
144,0.6982142857142857
145,0.6946428571428571
146,0.7035714285714286
147,0.6928571428571428
148,0.6928571428571428
149,0.7133928571428572
150,0.7008928571428571
151,0.68125
152,0.7035714285714286
153,0.7089285714285715
154,0.7133928571428572
155,0.7017857142857142
156,0.6919642857142857
157,0.6875
158,0.6946428571428571
159,0.7008928571428571
160,0.6866071428571429
161,0.7080357142857143
162,0.6955357142857143
163,0.6964285714285714
164,0.7142857142857143
165,0.6892857142857143
166,0.7017857142857142
167,0.6955357142857143
168,0.6982142857142857
169,0.6821428571428572
170,0.6991071428571428
171,0.69375
172,0.6955357142857143
173,0.6910714285714286
174,0.6830357142857143
175,0.6875
176,0.70625
177,0.6857142857142857
178,0.6883928571428571
179,0.6955357142857143
180,0.6955357142857143
181,0.7017857142857142
182,0.6839285714285714
183,0.6991071428571428
184,0.7017857142857142
185,0.6732142857142858
186,0.6848214285714286
187,0.6741071428571429
188,0.6848214285714286
189,0.69375
190,0.6857142857142857
191,0.6964285714285714
192,0.6955357142857143
193,0.6946428571428571
194,0.69375
195,0.6946428571428571
196,0.7098214285714286
197,0.6883928571428571
198,0.6973214285714285
199,0.7196428571428571
